ID Venda,Data Venda,Produto,Quantidade,Total Venda,ID Cliente,Cliente,Email Cliente,Vendedor,Forma de Pagamento,ID Produto,Distribuidora,Preço Unitário,ID Vendedor,Email Vendedor
1,2023-09-20,Produto D,1,40.9,1,Cindy Parks,olsonchristopher@example.org,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
2,2023-10-23,Produto B,5,112.5,2,Steve Mcintosh,johnbrady@example.net,Vendedor 2,Cartão de Crédito,2,Distribuidora 2,22.5,2,gabriela96@example.org
3,2023-09-13,Produto A,5,79.5,3,Crystal Matthews,butlerlaura@example.com,Vendedor 4,Cartão de Crédito,1,Distribuidora 1,15.9,4,sgonzalez@example.org
4,2023-01-13,Produto B,1,22.5,4,Jessica Finley,penaandrea@example.org,Vendedor 3,Cartão de Débito,2,Distribuidora 2,22.5,3,susan27@example.com
5,2023-09-19,Produto A,3,47.7,5,Jessica Bryant,debra40@example.net,Vendedor 4,Boleto,1,Distribuidora 1,15.9,4,sgonzalez@example.org
6,2023-07-16,Produto D,3,122.69999999999999,6,Judy Bailey,bochoa@example.com,Vendedor 3,Cartão de Débito,4,Distribuidora 4,40.9,3,susan27@example.com
7,2023-04-03,Produto C,1,30.9,7,Jennifer Richardson,sethrichmond@example.org,Vendedor 2,Boleto,3,Distribuidora 3,30.9,2,gabriela96@example.org
8,2023-11-19,Produto A,3,47.7,8,Jacob Howard,jeremiahgarcia@example.net,Vendedor 4,Dinheiro,1,Distribuidora 1,15.9,4,sgonzalez@example.org
9,2023-06-13,Produto A,1,15.9,9,Dana Griffin,gonzalezbrenda@example.org,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
10,2023-03-18,Produto A,3,47.7,10,April Gomez,charles61@example.com,Vendedor 2,Boleto,1,Distribuidora 1,15.9,2,gabriela96@example.org
11,2023-01-07,Produto D,4,163.6,11,Elizabeth Wilkinson,maria20@example.org,Vendedor 2,Dinheiro,4,Distribuidora 4,40.9,2,gabriela96@example.org
12,2023-11-01,Produto A,2,31.8,12,John Massey,david09@example.com,Vendedor 3,Cartão de Crédito,1,Distribuidora 1,15.9,3,susan27@example.com
13,2023-10-24,Produto B,2,45.0,13,Rebecca Copeland,john91@example.com,Vendedor 3,Cartão de Débito,2,Distribuidora 2,22.5,3,susan27@example.com
14,2023-11-03,Produto C,5,154.5,14,Nicole Jones,gallegosadam@example.org,Vendedor 1,Cartão de Crédito,3,Distribuidora 3,30.9,1,staceyweaver@example.org
15,2023-06-14,Produto D,5,204.5,15,Suzanne Johnson,coopersamuel@example.org,Vendedor 2,Dinheiro,4,Distribuidora 4,40.9,2,gabriela96@example.org
16,2023-04-30,Produto C,3,92.69999999999999,16,Brian Miller,shaun17@example.com,Vendedor 3,Cartão de Crédito,3,Distribuidora 3,30.9,3,susan27@example.com
17,2023-05-06,Produto A,3,47.7,17,Joseph Holland,cooperscott@example.com,Vendedor 3,Cartão de Crédito,1,Distribuidora 1,15.9,3,susan27@example.com
18,2023-11-04,Produto B,3,67.5,18,Alex Pugh,samantha15@example.net,Vendedor 4,Cartão de Débito,2,Distribuidora 2,22.5,4,sgonzalez@example.org
19,2023-09-14,Produto C,5,154.5,19,Justin Aguilar,byoung@example.net,Vendedor 4,Boleto,3,Distribuidora 3,30.9,4,sgonzalez@example.org
20,2023-03-22,Produto C,2,61.8,20,Kara Jones,dominguezpatricia@example.com,Vendedor 4,Cartão de Débito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
21,2023-05-14,Produto C,2,61.8,21,James Anderson,marquezmichael@example.net,Vendedor 2,Cartão de Crédito,3,Distribuidora 3,30.9,2,gabriela96@example.org
22,2023-07-27,Produto B,2,45.0,22,Nancy Wood,dwest@example.org,Vendedor 4,Cartão de Crédito,2,Distribuidora 2,22.5,4,sgonzalez@example.org
23,2023-01-28,Produto D,1,40.9,23,Julia Jacobs,stokesthomas@example.com,Vendedor 4,Transferência Bancária,4,Distribuidora 4,40.9,4,sgonzalez@example.org
24,2023-10-14,Produto D,3,122.69999999999999,24,Elizabeth Hernandez,irwinstephanie@example.net,Vendedor 3,Transferência Bancária,4,Distribuidora 4,40.9,3,susan27@example.com
25,2023-07-26,Produto A,5,79.5,25,Kelly Sanders,justin42@example.org,Vendedor 2,Dinheiro,1,Distribuidora 1,15.9,2,gabriela96@example.org
26,2023-07-01,Produto C,1,30.9,26,Cheryl Martin,hhicks@example.net,Vendedor 1,Transferência Bancária,3,Distribuidora 3,30.9,1,staceyweaver@example.org
27,2023-10-24,Produto C,4,123.6,27,Kyle Wolfe,evan62@example.org,Vendedor 2,Dinheiro,3,Distribuidora 3,30.9,2,gabriela96@example.org
28,2023-08-07,Produto C,1,30.9,28,Gary Orozco,harringtonjudy@example.org,Vendedor 4,Cartão de Débito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
29,2023-03-14,Produto B,5,112.5,29,Wendy Webb,shepardcrystal@example.org,Vendedor 1,Cartão de Crédito,2,Distribuidora 2,22.5,1,staceyweaver@example.org
30,2023-04-04,Produto B,3,67.5,30,Daniel Hernandez,joneseric@example.net,Vendedor 1,Boleto,2,Distribuidora 2,22.5,1,staceyweaver@example.org
31,2023-02-13,Produto D,1,40.9,31,Marvin Roman,zachary42@example.net,Vendedor 4,Cartão de Crédito,4,Distribuidora 4,40.9,4,sgonzalez@example.org
32,2023-08-22,Produto A,3,47.7,32,Roger Rios,stephanie44@example.org,Vendedor 3,Dinheiro,1,Distribuidora 1,15.9,3,susan27@example.com
33,2023-06-19,Produto B,1,22.5,33,Amy Brandt,jennifervalenzuela@example.net,Vendedor 4,Dinheiro,2,Distribuidora 2,22.5,4,sgonzalez@example.org
34,2023-09-27,Produto A,3,47.7,34,Gina Craig,ustewart@example.org,Vendedor 1,Cartão de Débito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
35,2023-04-05,Produto A,5,79.5,35,Shannon Rodriguez,randymitchell@example.org,Vendedor 2,Transferência Bancária,1,Distribuidora 1,15.9,2,gabriela96@example.org
36,2023-01-14,Produto C,2,61.8,36,Scott Neal,awaters@example.org,Vendedor 2,Cartão de Crédito,3,Distribuidora 3,30.9,2,gabriela96@example.org
37,2023-11-20,Produto C,1,30.9,37,Kenneth Jones,bruce64@example.net,Vendedor 4,Dinheiro,3,Distribuidora 3,30.9,4,sgonzalez@example.org
38,2023-10-05,Produto D,1,40.9,38,Renee Case,rachel27@example.com,Vendedor 2,Boleto,4,Distribuidora 4,40.9,2,gabriela96@example.org
39,2023-08-29,Produto C,2,61.8,39,Carrie Sawyer,dakota69@example.org,Vendedor 1,Dinheiro,3,Distribuidora 3,30.9,1,staceyweaver@example.org
40,2023-08-14,Produto C,2,61.8,40,Michael Rosario,matthew63@example.org,Vendedor 4,Boleto,3,Distribuidora 3,30.9,4,sgonzalez@example.org
41,2023-01-06,Produto B,1,22.5,41,Christina Jordan,benjamin09@example.com,Vendedor 3,Cartão de Débito,2,Distribuidora 2,22.5,3,susan27@example.com
42,2023-11-23,Produto D,2,81.8,42,Kayla Kidd,william15@example.net,Vendedor 1,Transferência Bancária,4,Distribuidora 4,40.9,1,staceyweaver@example.org
43,2023-06-14,Produto C,1,30.9,43,Victoria Gray,allensavannah@example.com,Vendedor 4,Cartão de Crédito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
44,2023-10-17,Produto D,2,81.8,44,Dale Schneider,johnyates@example.net,Vendedor 3,Dinheiro,4,Distribuidora 4,40.9,3,susan27@example.com
45,2023-03-28,Produto C,2,61.8,45,Barbara Anderson,welliott@example.org,Vendedor 1,Cartão de Débito,3,Distribuidora 3,30.9,1,staceyweaver@example.org
46,2023-06-06,Produto A,2,31.8,46,Joseph Reeves,utaylor@example.net,Vendedor 1,Boleto,1,Distribuidora 1,15.9,1,staceyweaver@example.org
47,2023-11-01,Produto B,5,112.5,47,Chris Bell,williamsjames@example.org,Vendedor 1,Cartão de Débito,2,Distribuidora 2,22.5,1,staceyweaver@example.org
48,2023-07-24,Produto A,4,63.6,48,Jessica Sanders,richardchristina@example.com,Vendedor 3,Cartão de Débito,1,Distribuidora 1,15.9,3,susan27@example.com
49,2023-11-19,Produto B,4,90.0,49,Shannon Taylor,gscott@example.com,Vendedor 1,Dinheiro,2,Distribuidora 2,22.5,1,staceyweaver@example.org
50,2023-10-24,Produto C,5,154.5,50,Bryan Knapp,nunezvictoria@example.com,Vendedor 2,Boleto,3,Distribuidora 3,30.9,2,gabriela96@example.org
51,2023-09-10,Produto B,1,22.5,51,Nancy Wilcox,vsmith@example.net,Vendedor 4,Boleto,2,Distribuidora 2,22.5,4,sgonzalez@example.org
52,2023-09-07,Produto B,5,112.5,52,Megan Kane,jennifer30@example.net,Vendedor 1,Transferência Bancária,2,Distribuidora 2,22.5,1,staceyweaver@example.org
53,2023-04-22,Produto B,2,45.0,53,Michael Townsend,mckinneysamuel@example.org,Vendedor 4,Boleto,2,Distribuidora 2,22.5,4,sgonzalez@example.org
54,2023-04-03,Produto A,1,15.9,54,Maria Roberts PhD,wgraves@example.org,Vendedor 1,Cartão de Crédito,1,Distribuidora 1,15.9,1,staceyweaver@example.org
55,2023-12-18,Produto C,5,154.5,55,Allen Dean,qpratt@example.org,Vendedor 4,Cartão de Débito,3,Distribuidora 3,30.9,4,sgonzalez@example.org
56,2023-01-26,Produto D,2,81.8,56,Joshua Ford,danielle90@example.net,Vendedor 3,Transferência Bancária,4,Distribuidora 4,40.9,3,susan27@example.com
57,2023-01-21,Produto D,5,204.5,57,Cynthia Perkins,xdunn@example.org,Vendedor 2,Cartão de Débito,4,Distribuidora 4,40.9,2,gabriela96@example.org
58,2023-04-14,Produto A,1,15.9,58,Robin Lloyd,monicachandler@example.net,Vendedor 3,Cartão de Débito,1,Distribuidora 1,15.9,3,susan27@example.com
59,2023-02-28,Produto D,4,163.6,59,Patricia Jones,christopherowens@example.org,Vendedor 2,Transferência Bancária,4,Distribuidora 4,40.9,2,gabriela96@example.org
60,2023-06-19,Produto D,3,122.69999999999999,60,Eric Wise,samantha34@example.org,Vendedor 1,Boleto,4,Distribuidora 4,40.9,1,staceyweaver@example.org
